name,category,domain,from_price_usd_mo,flags,review_url,researched,entry_price,entry_price_terms,pricing_status
Foxit,IT & Productivity,foxit.com,129.99,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/foxit-review/,2026-07,$129.99,per user per month (same 12-month term),public
Frase,Growth & Revenue,frase.io,39.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/frase-review/,2026-07,$39,"per month billed yearly ($49 monthly), 1 seat, 1 site",public
FreshBooks,Financial Operations,freshbooks.com,2.3,per_seat|renewal_jump|addons_extra,https://aibuildermarketplace.com/b2b/freshbooks-review/,2026-07,$2.30,"per month for three months, then $23/mo on Lite",public
Freshchat,Communication & Voice,freshchat.com,19.0,per_seat|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/freshchat-review/,2026-07,$19,per agent a month billed annually ($23 monthly),public
Freshservice,IT & Productivity,freshservice.com,19.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/freshservice-review/,2026-07,$19,per month,public
Freshworks,Customer Support,freshworks.com,19.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/freshworks-review/,2026-07,$19,Freshdesk Growth · per agent per month billed annually,public
FullEnrich,Growth & Revenue,fullenrich.com,29.0,quote_only|usage_metered,https://aibuildermarketplace.com/b2b/fullenrich-review/,2026-07,$29,a month for 500 credits,public
Gamma,Operations & Workflow,gamma.app,,per_seat|usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/gamma-review/,2026-07,€8,per seat a month billed annually (€10 monthly),public
Gelato,Growth & Revenue,gelato.com,29.99,free_tier,https://aibuildermarketplace.com/b2b/gelato-review/,2026-07,$29.99,"a month, or $19.99 a month billed annually",public
GeoStock,E-commerce,jtcinteractive.com,9.99,,https://aibuildermarketplace.com/b2b/geostock-review/,2026-07,$9.99,Basic · per month,public
Geotargetly,Marketing,geotargetly.com,9.0,usage_metered,https://aibuildermarketplace.com/b2b/geotargetly-review/,2026-07,$9,Dev · per month billed yearly ($12 monthly),public
GetResponse,Growth & Revenue,getresponse.com,,annual_lock,https://aibuildermarketplace.com/b2b/getresponse-review/,2026-07,€13.12,"per month billed annually (€16 monthly), quoted at 1,000 contacts",public
Getscreen,IT & Productivity,getscreen.me,4.17,free_tier,https://aibuildermarketplace.com/b2b/getscreen-review/,2026-07,$4.17,"a month per technician plus $0.08 per device, billed annually",public
Gixo,Design & Content,gixo.ai,10.0,,https://aibuildermarketplace.com/b2b/gixo-review/,2026-07,$10,"Quill, Lumen or Prism… · per month, the lowest published floor across seven separately sold products",public
Glide,IT & Productivity,glideapps.com,19.0,per_seat|usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/glide-review/,2026-07,$19,per month billed yearly ($25 monthly),public
Goflow,Operations & Workflow,goflow.com,499.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/goflow-review/,2026-07,$499,"entry plan (750 orders) · per month for 750 orders, month-to-month",public
Gorgias,Customer Support,gorgias.com,90.0,usage_metered,https://aibuildermarketplace.com/b2b/gorgias-review/,2026-07,$90,"Basic · per month, month-to-month",public
GrapeLeads,Sales & CRM,grapeleads.com,,usage_metered,https://aibuildermarketplace.com/b2b/grapeleads-review/,2026-07,,,see_details
Grapevine,Marketing,grapevine-surveys.com,25.0,,https://aibuildermarketplace.com/b2b/grapevine-review/,2026-07,$25,a month,public
Gravity Forms,IT & Productivity,gravity.com,,addons_extra,https://aibuildermarketplace.com/b2b/gravity-forms-review/,2026-07,$59,"a year (1 site, standard support)",public
Guesty,Operations & Workflow,guesty.com,,addons_extra,https://aibuildermarketplace.com/b2b/guesty-review/,2026-07,,,see_details
Gushwork,SEO & Marketing,gushwork.ai,900.0,usage_metered,https://aibuildermarketplace.com/b2b/gushwork-review/,2026-07,$900,"a month, billed monthly, cancel anytime",public
Gusto,Financial Operations,gusto.com,49.0,per_seat,https://aibuildermarketplace.com/b2b/gusto-review/,2026-07,$49,a month plus $6 per person (single-state payroll),public
Healthie,Operations & Workflow,gethealthie.com,19.99,,https://aibuildermarketplace.com/b2b/healthie-review/,2026-07,$19.99,Core · billed monthly — $18 is the yearly rate,public
Heard,Financial Operations,joinheard.com,129.0,addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/heard-review/,2026-07,$129,"Lite · per month, annual billing only",public
Hello Bar,Growth & Revenue,hellobar.com,29.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/hello-bar-review/,2026-07,$29,"per month billed annually ($39 monthly), up to 50,000 views/mo",public
Helm,Analytics,pactai.app,,,https://aibuildermarketplace.com/b2b/helm-review/,2026-07,$129,"a month or $1,299 a year via the Shopify App Store, 7-day free trial",public
HelpCenter,Customer Support,helpcenterapp.com,,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/helpcenter-review/,2026-07,$5.99,"Basic · per month, or $59.99 a year",public
HiBob,Operations & Workflow,hibob.com,,per_seat|annual_lock,https://aibuildermarketplace.com/b2b/hibob-review/,2026-07,,,quote_only
Hive,Operations & Workflow,hive.com,5.0,per_seat|usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/hive-review/,2026-07,$5,"per user a month, yearly billing",public
Hopp,IT & Productivity,gethopp.com,,,https://aibuildermarketplace.com/b2b/hopp-review/,2026-07,,,quote_only
Hostinger,IT & Productivity,hostinger.com,2.99,renewal_jump,https://aibuildermarketplace.com/b2b/hostinger-review/,2026-07,$2.99,"a month (48-month prepaid term, $143.52 upfront), renews at $10.99/mo",public
Housecall Pro,Operations & Workflow,housecallpro.com,59.0,addons_extra,https://aibuildermarketplace.com/b2b/housecall-pro-review/,2026-07,$59,"per month billed annually ($79 month-to-month), 1 user",public
HubSpot,Sales & CRM,hubspot.com,20.0,per_seat|usage_metered|renewal_jump|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/hubspot-review/,2026-07,$20,"Starter, per seat · the list price per seat per month",public
Hubstaff,HR & People,hubstaff.com,4.99,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/hubstaff-review/,2026-07,$4.99,"Starter, per seat · per seat per month billed annually ($7 billed monthly)",public
Iconosquare,Growth & Revenue,iconosquare.com,,per_seat,https://aibuildermarketplace.com/b2b/iconosquare-review/,2026-07,€9,"Starter… · per month billed yearly (EUR 11 month to month) for 3 profiles, 1 user…",public
iContact,Growth & Revenue,icontact.com,9.0,,https://aibuildermarketplace.com/b2b/icontact-review/,2026-07,$9,per month at 500 contacts,public
IDrive,IT & Productivity,idrive.com,0.25,addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/idrive-review/,2026-07,$0.25,a month for 100 GB,public
Imgify,Design & Content,effectify.io,,,https://aibuildermarketplace.com/b2b/imgify-review/,2026-07,$2.99,"a month, or $28.70 a year, 7-day trial",public
InboxAlly,Growth & Revenue,inboxally.com,149.0,,https://aibuildermarketplace.com/b2b/inboxally-review/,2026-07,$149,"per month (100 seed emails/day, 1 sender profile)",public
Increff,Operations & Workflow,increff.com,,quote_only,https://aibuildermarketplace.com/b2b/increff-review/,2026-07,,,quote_only
Influencer Hero,Marketing,influencer-hero.com,649.0,usage_metered,https://aibuildermarketplace.com/b2b/influencer-hero-review/,2026-07,$649,"a month, or $454 a month billed annually (also $519 billed quarterly)",public
Insightful,HR & People,insightful.io,8.0,per_seat|addons_extra,https://aibuildermarketplace.com/b2b/insightful-review/,2026-07,$8,"per seat a month, billed annually",public
Instapage,Growth & Revenue,instapage.com,79.0,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/instapage-review/,2026-07,$79,"per month billed yearly ($99 month to month) for 15,000 visitors",public
Intelis,E-commerce,intelis.ai,,usage_metered,https://aibuildermarketplace.com/b2b/intelis-review/,2026-07,$49,"Basic · per month for up to 100 products or variants, or $490 a year, a 17%…",public
InVideo,Operations & Workflow,invideo.io,20.0,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/invideo-review/,2026-07,$20,"per user per month (400 credits/seat/mo, up to 5 seats)",public
involve.me,Marketing,involve.me,29.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/involve-me-review/,2026-07,$29,per person a month on annual billing ($49 month-to-month),public
Jibble,HR & People,jibble.io,,per_seat|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/jibble-review/,2026-07,€1.79,Essentieel · per user a month billed annually,public
Joiin,Finance & Accounting,joiin.co,23.0,annual_lock,https://aibuildermarketplace.com/b2b/joiin-review/,2026-07,$23,"a month for one company billed annually ($28 monthly), unlimited users",public
Jotform AI Agents,Operations & Workflow,jotform.com,34.0,usage_metered|renewal_jump|addons_extra,https://aibuildermarketplace.com/b2b/jotform-ai-agents-review/,2026-07,$34,"a month billed annually (5 agents, 100 conversations/mo)",public
Jubilee,Financial Operations,jubileepro.com,,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/jubilee-review/,2026-07,$995,Jubilee 36 · per YEAR for up to 36 filings,public
Kartra,Growth & Revenue,kartra.com,59.0,,https://aibuildermarketplace.com/b2b/kartra-review/,2026-07,$59,"a month, or $52 a month billed yearly",public
Katana MRP,Operations & Workflow,katanamrp.com,299.0,quote_only|usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/katana-mrp-review/,2026-07,$299,per month,public
Keap,Growth & Revenue,keap.com,299.0,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/keap-review/,2026-07,$299,the whole platform · billed monthly,public
Keeper Security,Security,keepersecurity.com,2.0,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/keeper-security-review/,2026-07,$2,"per user per month billed yearly ($4 and $6 above it), add-ons extra",public
Kinsta,IT & Productivity,kinsta.com,35.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/kinsta-review/,2026-07,$35,"a month, or $30 a month billed annually ($350/yr)",public
Kit,Growth & Revenue,kit.com,39.0,free_tier,https://aibuildermarketplace.com/b2b/kit-review/,2026-07,$39,Creator · billed monthly,public
Kite,E-commerce,kite.skailama.app,29.0,free_tier,https://aibuildermarketplace.com/b2b/kite-review/,2026-07,$29,per month,public
Kiwi Sizing,E-commerce,kiwisizing.com,7.99,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/kiwi-sizing-review/,2026-07,$7.99,"per month (10 charts, no watermark)",public
Kixie,Communication & Voice,kixie.com,,per_seat|addons_extra,https://aibuildermarketplace.com/b2b/kixie-review/,2026-07,,,quote_only
Koongo,E-commerce,koongo.com,39.0,usage_metered,https://aibuildermarketplace.com/b2b/koongo-review/,2026-07,$39,"Lite Plan · per month on the App Store listing for 1,000 items, 5 feeds, two…",public
KrispCall,Communication & Voice,krispcall.com,12.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/krispcall-review/,2026-07,$12,"per user a month billed annually, or $15 monthly (up to 5 users)",public
Kumo,E-commerce,cloudlift.app,15.0,usage_metered,https://aibuildermarketplace.com/b2b/kumo-review/,2026-07,$15,B2B · per month with unlimited pricing rules,public
Landingi,Growth & Revenue,landingi.com,24.0,usage_metered|renewal_jump|annual_lock,https://aibuildermarketplace.com/b2b/landingi-review/,2026-07,$24,"per month, billed annually",public
LangShop,E-commerce,langshop.io,,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/langshop-review/,2026-07,$10,"a month or $100 a year (250 products, 5 glossary rules)",public
Later,Growth & Revenue,later.com,18.75,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/later-review/,2026-07,$18.75,a month billed yearly,public
Leadfeeder,Growth & Revenue,leadfeeder.com,79.0,free_tier,https://aibuildermarketplace.com/b2b/leadfeeder-review/,2026-07,$79,Discover · per month billed annually,public
Leadpages,Growth & Revenue,leadpages.com,8.0,usage_metered|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/leadpages-review/,2026-07,$8,"per month billed annually ($10 monthly), 5 pages, 1 site",public
LearnWorlds,Growth & Revenue,learnworlds.com,29.0,usage_metered|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/learnworlds-review/,2026-07,$29,per month (or $24 annually) but with a $5 fee per paid enrollment,public
Leavo,HR & People,leavo.com,2.49,per_seat|annual_lock,https://aibuildermarketplace.com/b2b/leavo-review/,2026-07,$2.49,per user a month billed yearly (~$448/yr for 15 users),public
lemlist,Growth & Revenue,lemlist.com,69.0,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/lemlist-review/,2026-07,$69,per month ($55 billed yearly) for unlimited users,public
LettrLabs,Growth & Revenue,lettrlabs.com,399.0,quote_only|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/lettrlabs-review/,2026-07,$399,per month billed annually ($449 monthly),public
Lindy.ai,Operations & Workflow,lindy.ai,29.99,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/lindy-ai-review/,2026-07,$29.99,"per month per user for 3,000 credits",public
Livestorm,Growth & Revenue,livestorm.com,,usage_metered,https://aibuildermarketplace.com/b2b/livestorm-review/,2026-07,,,see_details
Lovable,IT & Productivity,lovable.dev,,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/lovable-review/,2026-07,,,see_details
Loyalino,E-commerce,loyalino.io,,usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/loyalino-review/,2026-07,$29,a month or $290 a year (up to 500 orders),public
Lucrovox,Communication & Voice,lucrovox.com,199.0,usage_metered,https://aibuildermarketplace.com/b2b/lucrovox-review/,2026-07,$199,"Starter · per month for up to 100 AI-handled calls, with a 14-day free trial",public
LumenCart,Design & Content,lumencart.fleeta.co.uk,9.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/lumencart-review/,2026-07,$9,per month (75 credits/mo),public
ManyChat,Growth & Revenue,manychat.com,17.0,addons_extra|free_tier,https://aibuildermarketplace.com/b2b/manychat-review/,2026-07,$17,"per month, or $14/mo billed annually, at 250 contacts",public
MarketerHire,Growth & Revenue,marketerhire.com,,,https://aibuildermarketplace.com/b2b/marketerhire-review/,2026-07,,,quote_only
Marketing 360,Growth & Revenue,marketing360.com,,quote_only,https://aibuildermarketplace.com/b2b/marketing-360-review/,2026-07,,,quote_only
Meeri,Marketing,meeritech.com,4.99,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/meeri-review/,2026-07,$4.99,"Pro · per month for up to 3,000 push notification impressions, billed in USD…",public
MeetGeek,Video & Audio,meetgeek.ai,9.99,per_seat|usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/meetgeek-review/,2026-07,$9.99,"per user per month billed yearly ($15.99 monthly), extra hours $0.50",public
Melio,Financial Operations,meliopayments.com,20.0,annual_lock|free_tier,https://aibuildermarketplace.com/b2b/melio-review/,2026-07,$20,per month billed annually ($25 monthly),public
MigrationPro,Operations & Workflow,migrationpro.io,,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/migrationpro-review/,2026-07,$29,"Automated app · a one-time payment rather than a subscription, and a floor rather than…",public
MindStudio,IT & Productivity,mindstudio.ai,20.0,quote_only|per_seat|usage_metered|free_tier,https://aibuildermarketplace.com/b2b/mindstudio-review/,2026-07,$20,a month plus usage ($16 billed yearly),public
Miro,Operations & Workflow,miro.com,8.0,per_seat|usage_metered|free_tier,https://aibuildermarketplace.com/b2b/miro-review/,2026-07,$8,"Starter, per member · per member per month billed yearly ($10 billed monthly)",public
Mktg.ai,Marketing,mktg.ai,,addons_extra,https://aibuildermarketplace.com/b2b/mktg-ai-review/,2026-07,,,quote_only
Modelize,Design & Content,modelize.studio,19.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/modelize-review/,2026-07,$19,Starter · per month for 100 AI images,public
Modge,HR & People,modge.com,4.0,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/modge-review/,2026-07,$4,Basic · per seat a month billed annually ($5 monthly),public
Momence,Operations & Workflow,momence.com,60.0,addons_extra|free_tier,https://aibuildermarketplace.com/b2b/momence-review/,2026-07,$60,per month at 2.5%),public
monday.com,Project Management,monday.com,9.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/monday-com-review/,2026-07,$9,per seat a month,public
Moosend,Marketing,moosend.com,7.0,usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/moosend-review/,2026-07,$7,per month billed yearly ($9 monthly),public
Motive,Business Operations,gomotive.com,,,https://aibuildermarketplace.com/b2b/motive-review/,2026-07,,,quote_only
MRPeasy,Operations & Workflow,mrpeasy.com,49.0,per_seat,https://aibuildermarketplace.com/b2b/mrpeasy-review/,2026-07,$49,per user a month (Starter),public
Murf,Operations & Workflow,murf.ai,19.0,annual_lock|free_tier,https://aibuildermarketplace.com/b2b/murf-review/,2026-07,$19,"per month billed annually ($228/yr), 100 projects",public
MX AI,Design & Content,effectify.io,2.99,,https://aibuildermarketplace.com/b2b/mx-ai-review/,2026-07,$2.99,"Monthly Plan · per month for the whole app, with no usage tier above it",public
Mycroft,Security,mycroft.io,,,https://aibuildermarketplace.com/b2b/mycroft-review/,2026-07,,,quote_only
Navan,Financial Operations,navan.com,15.0,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/navan-review/,2026-07,$15,per user a month from user 6,public
NeuroAds,Customer Support,neuroadsinc.com,19.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/neuroads-review/,2026-07,$19,"Starter · per month for 800 conversations, live human takeover and discount codes…",public
Nexis CRO,E-commerce,nexiscro.com,,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/nexis-cro-review/,2026-07,$9,"Pro · per month, or $99 a year",public
Nextify.ai,Marketing,nextify.ai,,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/nextify-ai-review/,2026-07,$21,Starter · per month billed annually at $244 a year,public
Ngram,IT & Productivity,ngram.com,29.0,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/ngram-review/,2026-07,$29,"per month, or $23.20/mo billed annually ($278.40/yr)",public
NiceJob,Growth & Revenue,nicejob.com,75.0,addons_extra,https://aibuildermarketplace.com/b2b/nicejob-review/,2026-07,$75,per month (software only),public
Niural AI,HR & People,niural.com,100.0,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/niural-ai-review/,2026-07,$100,per month platform fee plus $20 per employee a month,public
noCRM,Sales & CRM,nocrm.io,,per_seat|annual_lock,https://aibuildermarketplace.com/b2b/nocrm-review/,2026-07,€11,Starter · per user per month on annual billing,public
NordVPN,IT & Productivity,nordvpn.com,,per_seat|renewal_jump|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/nordvpn-review/,2026-07,€3.49,per month on the two-year plan (€94.23 for the first 27 months),public
Notify Me,Growth & Revenue,notify-me.io,9.9,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/notify-me-review/,2026-07,$9.90,"per month or $95/yr, first month discounted to $3.96",public
Nouswise,IT & Productivity,nouswise.com,19.99,usage_metered|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/nouswise-review/,2026-07,$19.99,"a month and Pro $49.99, both billed monthly",public
Nutshell,Growth & Revenue,nutshell.com,13.0,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/nutshell-review/,2026-07,$13,"per user a month, annual billing (monthly billing about 15% higher)",public
Omniseo,Growth & Revenue,omniseo.com,89.0,annual_lock,https://aibuildermarketplace.com/b2b/omniseo-review/,2026-07,$89,"per month (4 AI channels, 50 prompts, 5 seats)",public
Oneflow,Sales & CRM,oneflow.com,,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/oneflow-review/,2026-07,€50,"per user a month billed annually, 5-user minimum (floor €250/month)",public
Optizen,Growth & Revenue,optizenapp.com,9.99,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/optizen-review/,2026-07,$9.99,"Starter · per month, plus $2 per extra AI video credit beyond the 2 included",public
Outgrow,Growth & Revenue,outgrow.co,22.0,annual_lock|free_tier,https://aibuildermarketplace.com/b2b/outgrow-review/,2026-07,$22,per month or $14/mo billed annually,public
Ownr,Operations & Workflow,ownr.co,,renewal_jump|addons_extra,https://aibuildermarketplace.com/b2b/ownr-review/,2026-07,,,see_details
Oyster,HR & People,oysterhr.com,,per_seat,https://aibuildermarketplace.com/b2b/oyster-review/,2026-07,,,see_details
PagePulse,Marketing,getpagepulse.io,29.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/pagepulse-review/,2026-07,$29,"a month for two pages, with annual billing marked Save 20%",public
Pangram,Operations & Workflow,pangram.com,20.0,per_seat|usage_metered|free_tier,https://aibuildermarketplace.com/b2b/pangram-review/,2026-07,$20,per month ($15 billed yearly),public
Papaya Global,HR & People,papayaglobal.com,499.0,per_seat,https://aibuildermarketplace.com/b2b/papaya-global-review/,2026-07,$499,"Employer of Record · per employee per month, and a published 'starting from' floor under a…",public
Parallel AI,Growth & Revenue,parallellabs.app,99.0,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/parallel-ai-review/,2026-07,$99,"per month for 2,000 or $297/mo for 9,000",public
Parim,HR & People,parim.co,,per_seat,https://aibuildermarketplace.com/b2b/parim-review/,2026-07,£47,a month (published floor),public
PartnerStack,Marketing,partnerstack.com,,,https://aibuildermarketplace.com/b2b/partnerstack-review/,2026-07,,,quote_only
Passpack,IT & Productivity,passpack.com,,per_seat,https://aibuildermarketplace.com/b2b/passpack-review/,2026-07,$20,per user per year up to 20 people,public
Payoneer,Financial Operations,payoneer.com,,per_seat|addons_extra,https://aibuildermarketplace.com/b2b/payoneer-review/,2026-07,,,see_details
PDWare,Operations & Workflow,pdware.com,,,https://aibuildermarketplace.com/b2b/pdware-review/,2026-07,,,quote_only
Pecan AI,Growth & Revenue,pecan.ai,,,https://aibuildermarketplace.com/b2b/pecan-ai-review/,2026-07,,,quote_only
PhotoGenerator,Design & Content,photogenerator.ai,12.0,usage_metered,https://aibuildermarketplace.com/b2b/photogenerator-review/,2026-07,$12,per month for 360 credits (billed monthly),public
Piktochart,Design & Content,piktochart.com,10.0,per_seat|usage_metered|addons_extra|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/piktochart-review/,2026-07,$10,per member per month billed yearly ($15 monthly),public
Pingtree,Growth & Revenue,pingtree.com,,usage_metered,https://aibuildermarketplace.com/b2b/pingtree-review/,2026-07,,,see_details
Pipedrive,Growth & Revenue,pipedrive.com,14.0,per_seat|addons_extra|annual_lock,https://aibuildermarketplace.com/b2b/pipedrive-review/,2026-07,$14,"Lite, per seat · per seat a month billed annually",public
Pippit,Marketing,pippit.ai,,usage_metered,https://aibuildermarketplace.com/b2b/pippit-review/,2026-07,€87,Starter · per year on the yearly tab (list price EUR 145),public
Pixel Union,Growth & Revenue,pixelunion.net,,,https://aibuildermarketplace.com/b2b/pixel-union-review/,2026-07,,,see_details
Planday,HR & People,planday.com,,per_seat|addons_extra,https://aibuildermarketplace.com/b2b/planday-review/,2026-07,€2.99,"Starter · per user per month with a 5-user minimum, so the real floor is EUR 14.95",public
Plansom,Operations & Workflow,plansom.com,,usage_metered,https://aibuildermarketplace.com/b2b/plansom-review/,2026-07,,,quote_only
Plesk,IT & Productivity,plesk.com,16.99,,https://aibuildermarketplace.com/b2b/plesk-review/,2026-07,$16.99,"Web Admin Edition (VPS) · per server per month billed monthly for 10 domains, or 15.57 a month on…",public
Poptin,Growth & Revenue,poptin.com,20.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/poptin-review/,2026-07,$20,"per month billed annually ($25 monthly), 10,000 visitors",public
Post Purchase Upsell Hero,Growth & Revenue,postpurchaseupsellhero.com,,usage_metered|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/post-purchase-upsell-hero-review/,2026-07,,,see_details
Postscript,SEO & Marketing,postscript.io,49.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/postscript-review/,2026-07,$49,per month minimum spend,public
PreOrder Now,E-commerce,zenpire.tech,19.95,free_tier,https://aibuildermarketplace.com/b2b/preorder-now-review/,2026-07,$19.95,a month (tier keyed to Shopify plan size),public
Prezi,Operations & Workflow,prezi.com,,usage_metered,https://aibuildermarketplace.com/b2b/prezi-review/,2026-07,€5,"a month, billed annually",public
Pricefy,E-commerce,pricefy.io,49.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/pricefy-review/,2026-07,$49,per month ($37 annually),public
Printify,Growth & Revenue,printify.com,39.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/printify-review/,2026-07,$39,"per month, or from $24.99/mo billed yearly",public
Process Street,Operations & Workflow,process.st,,quote_only|per_seat,https://aibuildermarketplace.com/b2b/process-street-review/,2026-07,,,quote_only
ProtectMyOrder,E-commerce,protectmyorder.com,,usage_metered,https://aibuildermarketplace.com/b2b/protectmyorder-review/,2026-07,,,quote_only
Proton,IT & Productivity,proton.me,3.99,,https://aibuildermarketplace.com/b2b/proton-review/,2026-07,$3.99,Mail Plus · per month billed yearly ($47.88 a year; $4.99 month to month),public
Proton Drive,IT & Productivity,proton.me,3.99,per_seat,https://aibuildermarketplace.com/b2b/proton-drive-review/,2026-07,$3.99,"per month for 200GB (20% off $4.99), billed $47.88 a year",public
Pumper Bundles,Growth & Revenue,pumper.run,,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/pumper-bundles-review/,2026-07,$9.99,"Starter · per month, or $94.68 a year",public
PushOwl,Growth & Revenue,pushowl.com,19.0,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/pushowl-review/,2026-07,$19,"per month for 10,000 web push messages",public
Pylon,Communication & Voice,usepylon.com,,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/pylon-review/,2026-07,,,quote_only
Pythago,E-commerce,pythago.io,59.0,usage_metered,https://aibuildermarketplace.com/b2b/pythago-review/,2026-07,$59,a month,public
Qoyod,Financial Operations,qoyod.com,,per_seat|usage_metered|addons_extra,https://aibuildermarketplace.com/b2b/qoyod-review/,2026-07,$320,"Basic · per YEAR (1,200 SAR at the 3.75 peg) for 1 user and 1 location",public
Quartile,E-commerce,quartile.com,,usage_metered,https://aibuildermarketplace.com/b2b/quartile-review/,2026-07,,,quote_only
QuickBooks UK,Finance & Accounting,quickbooks.intuit.com,,addons_extra,https://aibuildermarketplace.com/b2b/quickbooks-uk-review/,2026-07,£10,"per month (list, plus VAT) - a six-month 90% promo brings it to £1",public
QuickSigner,IT & Productivity,quicksigner.com,5.0,per_seat|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/quicksigner-review/,2026-07,$5,"per user a month ($48/yr), unlimited documents",public
QuillBot,Operations & Workflow,quillbot.com,19.95,free_tier,https://aibuildermarketplace.com/b2b/quillbot-review/,2026-07,$19.95,"a month, or $8.33 a month billed annually ($99.95 a year)",public
Quo,Communication & Voice,quo.com,15.0,per_seat|usage_metered,https://aibuildermarketplace.com/b2b/quo-review/,2026-07,$15,Starter · per user per month billed annually,public
Rank Math,Growth & Revenue,rankmath.com,,usage_metered|free_tier,https://aibuildermarketplace.com/b2b/rank-math-review/,2026-07,€7.99,"a month billed annually, excl",public
Rapid Search,E-commerce,rapidsearch.app,14.0,usage_metered|annual_lock,https://aibuildermarketplace.com/b2b/rapid-search-review/,2026-07,$14,"Basic 1 · per month for 5,000 monthly sessions and 100,000 products, unbranded…",public
ReachStream,Sales & CRM,reachstream.com,29.0,usage_metered|annual_lock|free_tier,https://aibuildermarketplace.com/b2b/reachstream-review/,2026-07,$29,per month billed yearly ($39 monthly),public
Readymode,Communication & Voice,readymode.com,239.0,per_seat,https://aibuildermarketplace.com/b2b/readymode-review/,2026-07,$239,per license a month and iQ $299,public
Reclaim.ai,Operations & Workflow,reclaim.ai,10.0,per_seat|addons_extra|free_tier,https://aibuildermarketplace.com/b2b/reclaim-ai-review/,2026-07,$10,per seat a month billed yearly ($12 monthly),public
